playerId,name,DBNOs,assists,boosts,kills,killStreaks,headshotKills,roadKills,teamKills,longestKill,damageDealt,heals,revives,deathType,rideDistance,swimDistance,walkDistance,timeSurvived,weaponsAcquired,killPlace,winPlace,match_id,roster_id,roster_members,roster_rank,roster_won
account.839e1da0afa54ea8a4381acb49b2544c,nirvana_ln,1,1,2,3,1,0,0,0,29.69624,220.45999,2,1,byplayer,0.0,0.0,2274.4229,1255.087,6,6,2,719f0d3a-f061-47df-b3bb-f61d27c40e24,37a110ae-e31a-41de-8736-13f299dcc83c,4,2,0
account.cbdb8d1b68024b438cb8f543b562b1a3,Aaron--R,1,1,1,0,0,0,0,0,0.0,249.065,0,1,byplayer,0.0,0.0,730.90326,451.676,3,46,2,719f0d3a-f061-47df-b3bb-f61d27c40e24,37a110ae-e31a-41de-8736-13f299dcc83c,4,2,0
account.ac9ec2b78b4c4fc69fe4d0b517ec6c2c,PUBG-biudbiubiu,2,3,3,2,2,0,0,0,2.4744875,383.03436,3,0,byplayer,0.0,0.0,2459.8992,1229.566,7,14,2,719f0d3a-f061-47df-b3bb-f61d27c40e24,37a110ae-e31a-41de-8736-13f299dcc83c,4,2,0
account.01c8cb1675734ecdacc5f79dbdcb44db,BoYka731,1,1,3,2,1,1,0,0,10.26861,410.96005,2,0,byplayer,0.0,0.0,552.2512,541.86,3,21,18,719f0d3a-f061-47df-b3bb-f61d27c40e24,29b55bd4-ae19-43a1-a60d-79e41f912797,4,18,0
account.b960264e213847cb9ef593e8a799e63e,duckjuwon,1,0,0,1,1,0,0,0,17.825241,140.4875,0,0,byplayer,0.0,0.0,173.5591,238.676,2,42,26,719f0d3a-f061-47df-b3bb-f61d27c40e24,29b55bd4-ae19-43a1-a60d-79e41f912797,4,18,0
account.777e7c8c5680489c83e64e2957f28129,gmltjd,2,0,0,2,1,0,0,0,17.687267,200.00003,0,0,byplayer,0.0,0.0,99.07822,149.797,3,24,27,719f0d3a-f061-47df-b3bb-f61d27c40e24,29b55bd4-ae19-43a1-a60d-79e41f912797,4,18,0
account.ca43bbe84cb445db96b10805e5cee8c2,GIHOMAN,0,0,1,0,0,0,0,0,0.0,0.0,0,1,byplayer,0.0,0.0,242.14055,228.499,3,86,26,719f0d3a-f061-47df-b3bb-f61d27c40e24,29b55bd4-ae19-43a1-a60d-79e41f912797,4,18,0
account.d034733c76454cb395683d6111314bb0,thingcalledlove,1,0,2,1,1,0,0,0,36.35544,75.0,1,0,byplayer,0.0,0.0,2668.855,1252.952,6,28,6,719f0d3a-f061-47df-b3bb-f61d27c40e24,66f614d6-a1f4-4914-b3e3-f6fa16d6cc2e,3,6,0
account.8bc5bc56cd72485abb0fecf5c409b6cf,jirboy,0,0,1,0,0,0,0,0,0.0,0.0,0,0,byzone,0.0,0.0,2895.4248,1252.95,6,50,6,719f0d3a-f061-47df-b3bb-f61d27c40e24,66f614d6-a1f4-4914-b3e3-f6fa16d6cc2e,3,6,0
account.9de3c0b73f214112a321abe9d2e73425,Yongsan-,1,1,2,1,1,0,0,0,11.071164,85.45,0,0,byplayer,271.78796,0.0,2116.385,1230.598,7,29,6,719f0d3a-f061-47df-b3bb-f61d27c40e24,66f614d6-a1f4-4914-b3e3-f6fa16d6cc2e,3,6,0
account.186c89233dd14d6f9f035ad3e9802d9e,KJH_3086,0,0,0,0,0,0,0,0,0.0,0.0,0,0,byzone,0.0,0.0,634.4695,409.579,5,69,20,719f0d3a-f061-47df-b3bb-f61d27c40e24,86063eb2-b452-4405-9c29-04cd78f28540,3,20,0
account.c675ec25a2f14eff8f7d9655e120e9e7,KR_Rumer,2,0,0,0,0,0,0,2,0.0,0.0,0,0,byzone,0.0,0.0,615.936,563.414,4,66,20,719f0d3a-f061-47df-b3bb-f61d27c40e24,86063eb2-b452-4405-9c29-04cd78f28540,3,20,0
account.c375b21aa9394c6188cba90c0d95df35,JJW06,0,0,1,0,0,0,0,0,0.0,0.0,0,0,byzone,0.0,0.0,607.0644,479.406,6,67,20,719f0d3a-f061-47df-b3bb-f61d27c40e24,86063eb2-b452-4405-9c29-04cd78f28540,3,20,0
