id,name,rank,rankPoints,wins,games,winRatio,averageDamage,kills,killDeathRatio,averageRank,grade
account.b806b4540f934153936fc9ad6385de07,MIDO-N,427,6161,25,695,0.035971224,268,1377,2.055224,34.72518,5
account.3991696c7b6b4cf3aebabb3ae2742999,TK-37,428,6161,6,1108,0.0054151625,124,1084,0.98366606,40.865524,5
account.2463d83edcdc4b93959bcb6007b40079,Suckdik_6,429,6161,14,1068,0.013108614,138,1143,1.0844402,33.664795,5
account.d0ae48cf45dd40c08bb127f223d099ed,EGOR_2004_,430,6160,8,1022,0.007827789,147,1259,1.2416173,44.981407,5
account.1de3ae52f78d4b86ae582dbce2efa8bb,rejwolf,431,6160,16,784,0.020408163,85,521,0.67838544,26.38903,5
account.ba3549edcb03497bb1f49f78589e0184,MyHero-Leo1992,432,6160,64,523,0.122370936,305,1288,2.8,28.669216,5
account.82ecc33dafd441f8b22c5c5815ea1ec7,gkaehrns,433,6160,9,1181,0.0076206606,109,1097,0.93600684,35.245556,5
account.bc3d11fad08f4ec192eaddb5ecc62bac,SHAPE-Andy,434,6160,10,1001,0.00999001,63,439,0.44254032,26.3007,5
account.082ea5b7831948c99b359190537c7c0e,gouzhu000,435,6160,22,1373,0.016023306,193,2306,1.7056212,51.56009,5
account.e5087711bf7a427d8974c2e9ba34c45a,laishengwunai,436,6160,0,1320,0.0,33,295,0.22348484,39.11591,5
account.38e63409aa6f4121afdbe5853617740d,em2333333,437,6159,3,1052,0.0028517111,139,1029,0.9809342,41.11502,5
account.59f1796c5a044eafb36e5b47a94fcca5,SkY_gray,438,6159,6,628,0.00955414,256,1392,2.2379422,30.848726,5
account.44176e050b984a08b46c965f37fe3ce2,kungesk,439,6158,12,929,0.012917115,158,1016,1.1079607,39.831,5
account.453890356bd64bf1be1dea88d2766c2e,BLAKIRATOR,440,6158,39,868,0.044930875,302,2140,2.5814233,41.64977,5
account.1c70cfc2d96d4efea5b1afdf4c2a59a5,bizkit77,441,6158,17,748,0.022727273,246,1427,1.9521204,39.251335,5
account.d8a4cb6ceb724a4787ace8f59ca256c8,Bilibili-544869,442,6158,87,823,0.10571081,395,2843,3.8575306,31.221142,5
account.3d918373c0614694a011349e9607603d,FY666666666,443,6158,13,1018,0.012770138,183,1495,1.4875622,42.204323,5
account.2bbfa7a4bd124788a1849bbdd5934c99,NpcPPPPP,444,6158,3,939,0.0031948881,154,945,1.0096154,37.232162,5
account.b59c7871646c4fd9bcb2f7e2a5818dab,TQGeng,445,6158,5,1100,0.0045454544,73,603,0.5506849,32.395454,5
account.fcb31ed8425a453cac0e2f073d0081ea,FeiDong_FangZ,446,6157,35,543,0.06445672,261,1157,2.2686274,25.456722,5
account.5fe1673e5db845248e4c51bb5297dbe8,wupimiyang,447,6157,10,1758,0.005688282,110,1518,0.8684211,55.741184,5
account.a5c2f87a7712402bbf317139974f5683,z1360130,448,6157,29,814,0.035626534,121,676,0.8600509,26.394348,5
account.35f6fc08325045d4b90869e6ebbcd95d,sbcbri,449,6157,17,968,0.017561983,141,1086,1.1419559,38.170456,5
account.97f2d08351e6402bad1b288123b8e3f0,Ssdyh,450,6157,29,954,0.030398322,327,2508,2.6967742,43.81132,5
account.3f8ed6b05cf845119c094363f49bebcc,BillytheBlade,451,6157,13,597,0.021775544,169,722,1.2363014,23.76047,5
account.c6f31ff045db4a269f46fe33d028b922,bhj977857432,452,6156,11,1229,0.008950366,120,1141,0.9367816,45.432873,5
account.5a751291d1d14c3298686615cc9c0818,4AM-ShaLang,453,6156,19,894,0.021252796,234,1557,1.7773973,44.762863,5
account.9990fa1cd89348de964c2d85ff520abd,shinyousik0,454,6156,79,407,0.1941032,265,897,2.7181818,14.82801,5
account.f0c827a4d7394ad3a1ce4b81fff34536,we---Vibe,455,6156,131,442,0.2963801,461,1851,5.9326925,17.429865,5
account.d26706f38a654b7ea7cd4b0aa69204da,Alightorque,456,6155,40,821,0.04872107,269,1826,2.3320563,39.389767,5
account.eb64751ed85946cb91f4a85bc937616a,dagebudexu,457,6155,36,1483,0.024275118,216,2872,1.9847962,44.953472,5
account.f96af752d5d04b139881bb29e2ab9586,GyaAaY,458,6155,14,1850,0.0075675678,133,1752,0.95424837,54.135136,5
account.e1403e2d22f44a778178cf0e01c46a0c,sky9527668,459,6155,25,956,0.026150627,214,1640,1.7596567,39.867153,5
account.a14fa8043193448588380218702668ad,FengyiU15,460,6155,14,736,0.019021738,200,1174,1.6260388,33.773098,5
account.0d41b8d7b4014ebbbe0987924d3c2ab3,Unfeeling-xyy,461,6155,84,438,0.19178082,375,1332,3.7310925,18.486301,5
account.48994d960ecb41e8a6d5deb14b2c361b,vRoD,462,6155,0,889,0.0,32,199,0.22384702,23.547806,5
account.143e2afe8c6e4ca99142ab3f79374874,ZCYJXY,463,6155,18,606,0.02970297,183,838,1.4251701,28.315182,5
account.14503363052b4867b3e75fd412d55a9d,douyu56933,464,6154,47,874,0.053775743,368,2647,3.1930037,43.048054,5
account.3c6431f2495140d593351db3d5799e7e,FONGYIXIAN,465,6154,8,1005,0.007960199,104,796,0.79839516,36.618904,5
account.79f15e161bc247899c1b1dbbfe5d3c36,funkybunch187,466,6154,10,985,0.010152284,131,963,0.9876923,35.915737,5
account.1534ae500aab4e73b091b754efe788f1,KOF-yamazaki,467,6154,22,819,0.026862027,308,2122,2.6624844,42.78144,5
account.51a2812434054f988feb173e84aa24d7,Ozbjorn0815,468,6154,48,711,0.067510545,280,1633,2.4556391,35.527428,5
account.79727473750a458cbd6ed17482f6dc5c,LINGDU-MOCHEN,469,6154,7,996,0.0070281127,119,952,0.9625885,40.4749,5
account.7111dd9ea60145d192bf227b0978d576,Man1pula_,470,6154,12,1060,0.011320755,210,1557,1.485687,49.14151,5
account.e207cdbee0b24701921833a5fbd585b8,KSTV_jialibao,471,6154,53,781,0.06786171,387,2624,3.6043956,43.08963,5
account.bb8439769c1542479d2f6d1aaa6b3593,MonacoRoom,472,6153,20,723,0.027662518,311,1724,2.44539,40.23513,5
account.6649d73e8a5a42ed82f26ba54cd1d4aa,firehand_-,473,6153,71,440,0.16136363,488,1711,4.6368566,20.218182,5
account.bf728ec2caf14c94b18847e0e16ac88c,nawibom,474,6153,6,641,0.009360374,128,628,0.98897636,22.088924,5
account.0a8ef868f769456bbfd788294922c2e5,Sealordking,475,6153,0,1163,0.0,78,706,0.6070507,44.116077,5
account.89040fc79a584274ba7254fcdb303866,84kg180cm20cm,476,6153,16,1432,0.011173184,196,2273,1.605226,60.28701,5
account.60f2b6dffc454030998833323f249b3d,Sy-Smd,477,6152,9,1070,0.008411215,141,1011,0.95287466,40.13271,5
account.13c5fd8b116b4df7ba40ca94b8762692,chenpiepie3,478,6152,20,778,0.025706941,137,843,1.1121372,35.84062,5
account.e5fb015d16674e9ea055a12c980f7d1e,WWY1997_,479,6152,125,537,0.23277467,659,3130,7.5421686,37.685287,5
account.ffa42d481e144cc8980ca955c8947737,Tensoft,480,6152,8,722,0.011080332,144,795,1.1134454,33.919666,5
account.b090e6864e1c4e92989502f2de0eabf4,GomDol86,481,6152,5,1315,0.0038022813,178,1924,1.4687023,45.28517,5
